experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,preserve3-term-tpp-on-534933607-a10-policy-e0000,tpp,stage2,on,534933607,pw_kmin3,,,,20943759,20755753,0,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:23:17,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943759_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0000.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0004,tpp,stage2,on,534933607,pw_kmin3,,,,20943760,20755753,4,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,00:08:31,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943760_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0004.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0005,tpp,stage2,on,534933607,pw_kmin3,,,,20943761,20755753,5,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:52,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943761_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0005.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0010,tpp,stage2,on,534933607,pw_kmin3,,,,20943764,20755753,10,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:40,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943764_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0010.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0015,tpp,stage2,on,534933607,pw_kmin3,,,,20943765,20755753,15,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:40,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943765_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0015.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0020,tpp,stage2,on,534933607,pw_kmin3,,,,20943766,20755753,20,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:49,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943766_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0020.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0025,tpp,stage2,on,534933607,pw_kmin3,,,,20943767,20755753,25,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:36,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943767_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0025.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0030,tpp,stage2,on,534933607,pw_kmin3,,,,20943768,20755753,30,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:55,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943768_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0030.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0035,tpp,stage2,on,534933607,pw_kmin3,,,,20943769,20755753,35,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:08:37,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943769_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0035.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0040,tpp,stage2,on,534933607,pw_kmin3,,,,20943770,20755753,40,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:08:14,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943770_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0040.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0045,tpp,stage2,on,534933607,pw_kmin3,,,,20943771,20755753,45,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:08:42,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943771_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0045.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0050,tpp,stage2,on,534933607,pw_kmin3,,,,20943772,20755753,50,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:08:39,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943772_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0050.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0055,tpp,stage2,on,534933607,pw_kmin3,,,,20943773,20755753,55,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:09:03,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943773_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0055.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0060,tpp,stage2,on,534933607,pw_kmin3,,,,20943774,20755753,60,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:54,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943774_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0060.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0065,tpp,stage2,on,534933607,pw_kmin3,,,,20943775,20755753,65,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:06,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943775_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0065.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0070,tpp,stage2,on,534933607,pw_kmin3,,,,20943776,20755753,70,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:00,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943776_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0070.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0075,tpp,stage2,on,534933607,pw_kmin3,,,,20943777,20755753,75,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:48,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943777_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0075.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0080,tpp,stage2,on,534933607,pw_kmin3,,,,20943778,20755753,80,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:07:25,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943778_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0080.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0085,tpp,stage2,on,534933607,pw_kmin3,,,,20943779,20755753,85,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:39,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943779_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0085.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0090,tpp,stage2,on,534933607,pw_kmin3,,,,20943780,20755753,90,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:38,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943780_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0090.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0095,tpp,stage2,on,534933607,pw_kmin3,,,,20943781,20755753,95,preserve3_terminal_tpp_on_learning_curve,COMPLETED,00:06:33,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943781_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0095.txt
,preserve3-term-tpp-on-534933607-a10-policy-e0099,tpp,stage2,on,534933607,pw_kmin3,,,,20943782,20755753,99,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_final_policy,COMPLETED,00:06:04,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943782_Ev_tpp_tpp_mcts_orig_vh_c.1_s534933607_K0_P4TPPS2P_src20755753_e0099.txt
,preserve3-term-tpp-on-923500475-a10-policy-e0000,tpp,stage2,on,923500475,pw_kmin3,,,,20943783,20755754,0,preserve3_terminal_tpp_on_learning_curve;preserve3_terminal_tpp_on_validation_selected_policy,COMPLETED,00:06:06,20.0,20,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943783_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20755754_e0000.txt
,preserve3-term-tpp-on-923500475-a10-policy-e0005,tpp,stage2,on,923500475,pw_kmin3,,,,20943784,20755754,5,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:23:17,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943784_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20755754_e0005.txt
,preserve3-term-tpp-on-923500475-a10-policy-e0010,tpp,stage2,on,923500475,pw_kmin3,,,,20943785,20755754,10,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:23:17,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943785_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20755754_e0010.txt
,preserve3-term-tpp-on-923500475-a10-policy-e0015,tpp,stage2,on,923500475,pw_kmin3,,,,20943786,20755754,15,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:23:17,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943786_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20755754_e0015.txt
,preserve3-term-tpp-on-923500475-a10-policy-e0020,tpp,stage2,on,923500475,pw_kmin3,,,,20943787,20755754,20,preserve3_terminal_tpp_on_learning_curve,RUNNING,00:23:17,,,/home/hersco/training_new_domains/2026-09-04/preserve4_tpp_stage2_policy_eval/20943787_Ev_tpp_tpp_mcts_orig_vh_c.1_s923500475_K0_P4TPPS2P_src20755754_e0020.txt
