experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-1963100312-s1,block_grouping,stage1,off,1963100312,pw_kmin3,70,18,20,20755790,20401187,44,,COMPLETED,18:01:50,13.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-1963100312-s1_20755790.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-off-2011206605-s1,block_grouping,stage1,off,2011206605,pw_kmin3,70,15,20,20755791,20401188,40,,COMPLETED,18:01:35,13.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-off-2011206605-s1_20755791.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-1963100312-s1,block_grouping,stage1,on,1963100312,pw_kmin3,70,17,20,20755792,20401177,4,,COMPLETED,18:01:35,13.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-1963100312-s1_20755792.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-block_grouping-on-2011206605-s1,block_grouping,stage1,on,2011206605,pw_kmin3,70,17,20,20755793,20401178,26,,COMPLETED,18:01:40,14.0,20,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-block_grouping-on-2011206605-s1_20755793.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s1,counters,stage1,off,1963100312,pw_kmin3,70,17,20,20755794,20401258,101,,RUNNING,1-02:04:08,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-1963100312-s1_20755794.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-1963100312-s2,counters,stage2,off,1963100312,pw_kmin3,70,59,20,20755795,20430416,33,,OUT_OF_MEMORY,1-10:51:28,46.0,59,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-1963100312-s2_20755795.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s1,counters,stage1,off,2011206605,pw_kmin3,70,19,20,20755796,20401259,37,,RUNNING,1-00:19:28,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s1_20755796.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-off-2011206605-s2,counters,stage2,off,2011206605,pw_kmin3,70,,20,20755797,20430417,12,,OUT_OF_MEMORY,1-13:53:13,41.0,59,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-off-2011206605-s2_20755797.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s1,counters,stage1,on,1963100312,pw_kmin3,70,3,20,20755798,20401268,204,,RUNNING,1-13:30:34,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-1963100312-s1_20755798.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-1963100312-s2,counters,stage2,on,1963100312,pw_kmin3,70,,20,20755799,20430427,0,,RUNNING,1-12:45:03,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-1963100312-s2_20755799.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-2011206605-s1,counters,stage1,on,2011206605,pw_kmin3,70,7,20,20755800,20401269,9,,RUNNING,1-12:38:25,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-2011206605-s1_20755800.out
MCTS-PW70-CROSS-DOMAIN,pw70-kmin3-counters-on-2011206605-s2,counters,stage2,on,2011206605,pw_kmin3,70,,20,20755801,20430428,67,,RUNNING,1-12:13:08,,,/home/hersco/training_new_domains/2026-08-30/mcts_pw_cross_domain/pw70-kmin3-counters-on-2011206605-s2_20755801.out
